"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV12205","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)",NA
"ESV12206","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV12207","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"ESV12208","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV12209","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12210","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12211","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV12212","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"ESV12213","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA
"ESV12214","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV12215","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6",NA
"ESV12216","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Anaeromyxobacter"
"ESV12217","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV12218","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV12219","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV12220","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia"
"ESV12221","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV12222","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula"
"ESV12223","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV12224","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV12225","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"ESV12226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter"
"ESV12227","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea"
"ESV12228","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12229","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV12230","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ESV12231","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV12232","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","CL500-29_marine_group"
"ESV12233","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Ilumatobacter"
"ESV12234","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis",NA
"ESV12235","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"ESV12236","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
"ESV12237","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV12238","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter"
"ESV12239","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage"
"ESV12240","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV12241","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV12242","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV12243","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12244","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"ESV12245","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV12246","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV12247","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ESV12248","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV12249","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ESV12250","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV12251","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_04"
"ESV12252","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV12253","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV12254","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12255","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV12257","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV12258","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV12259","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Leptolyngbya"
"ESV12260","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus"
"ESV12261","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12262","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"ESV12263","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12264","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ESV12265","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV12266","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"ESV12267","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12268","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Leptolyngbya"
"ESV12269","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12270","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20",NA,NA
"ESV12271","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12272","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA
"ESV12273","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"ESV12274","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ESV12275","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12276","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter"
"ESV12277","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV12278","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora"
"ESV12279","Bacteria","Chloroflexi","JG37-AG-4",NA,NA,NA
"ESV12280","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV12281","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV12282","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV12283","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12284","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12285","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"ESV12286","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12287","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"ESV12288","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV12289","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ESV12290","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12291","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV12292","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","CL500-29_marine_group"
"ESV12293","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ESV12294","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV12295","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira"
"ESV12296","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12297","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Luedemannella"
"ESV12298","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV12299","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"ESV12300","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"ESV12301","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"ESV12302","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV12303","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV12305","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12306","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira"
"ESV12307","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV12308","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ESV12309","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV12310","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"ESV12311","Bacteria","Acidobacteria","Subgroup_6","Unknown_Order","Unknown_Family","Vicinamibacter"
"ESV12312","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ESV12313","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV12314","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV12315","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Rhizomicrobium"
"ESV12316","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ESV12317","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis"
"ESV12318","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ESV12319","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV12320","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV12321","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV12322","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV12323","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12324","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV12325","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12326","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV12327","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquincola"
"ESV12328","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV12329","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12330","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)",NA
"ESV12331","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIV","FamilyI","Nostoc"
"ESV12332","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12333","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12334","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA
"ESV12335","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV12336","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA
"ESV12337","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ESV12338","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV12339","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella"
"ESV12340","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia"
"ESV12341","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12342","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ESV12343","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12344","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12345","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV12346","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MSB-4B10",NA
"ESV12347","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV12348","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV12349","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV12350","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV12351","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","MNG7",NA
"ESV12352","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12353","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ESV12354","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV12355","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6",NA
"ESV12356","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV12357","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter"
"ESV12358","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12359","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12360","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12361","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12362","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"ESV12363","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV12364","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12365","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Chryseolinea"
"ESV12366","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ESV12367","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12368","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA
"ESV12369","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV12370","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12371","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12372","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12373","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
"ESV12374","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV12375","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12376","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"ESV12377","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Elev-16S-1332",NA
"ESV12378","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA
"ESV12379","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV12380","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"ESV12381","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA
"ESV12382","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter"
"ESV12383","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_Incertae_Sedis","Reyranella"
"ESV12384","Bacteria","TM6_(Dependentiae)",NA,NA,NA,NA
"ESV12385","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12386","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ESV12387","Bacteria","Acidobacteria","Holophagae","Subgroup_10","Sva0725",NA
"ESV12388","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV12389","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
"ESV12390","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV12391","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ESV12392","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"ESV12393","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella"
"ESV12395","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12396","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter"
"ESV12397","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella"
"ESV12398","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"ESV12399","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV12400","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6",NA
"ESV12401","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV12402","Bacteria","Chloroflexi","SBR2076",NA,NA,NA
"ESV12403","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter"
"ESV12404","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae",NA
"ESV12405","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"ESV12406","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira"
"ESV12407","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",NA
"ESV12408","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV12409","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Chryseolinea"
"ESV12410","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV12411","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV12412","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12413","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12414","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia"
"ESV12415","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV12416","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12417","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"ESV12418","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ESV12419","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12420","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12421","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Zavarzinella"
"ESV12422","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9",NA,NA
"ESV12423","Bacteria","Acidobacteria","Subgroup_17",NA,NA,NA
"ESV12424","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV12425","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter"
"ESV12426","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"ESV12427","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV12428","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ESV12429","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ESV12430","Bacteria","Actinobacteria","FFCH16263",NA,NA,NA
"ESV12431","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20",NA,NA
"ESV12432","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV12433","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV12434","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV12435","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12436","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12437","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Paucimonas"
"ESV12438","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV12439","Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA
"ESV12440","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV12441","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA
"ESV12442","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12443","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV12444","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV12445","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus"
"ESV12446","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA
"ESV12447","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19",NA
"ESV12448","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV12449","Bacteria","Chloroflexi","JG37-AG-4",NA,NA,NA
"ESV12450","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"ESV12451","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV12452","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ESV12453","Bacteria","Verrucomicrobia","OPB35_soil_group",NA,NA,NA
"ESV12454","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ESV12455","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV12456","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111",NA
"ESV12457","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV12458","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV12459","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA
"ESV12460","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV12461","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV12462","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Zavarzinella"
"ESV12463","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ESV12464","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus"
"ESV12465","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ESV12466","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"ESV12467","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces"
